Date,Count,Date,Census_Tracts,PoliceDistrict
2016-02-14,51,2016-02-14,905.0,Northern
2016-02-21,78,2016-02-21,905.0,Northern
2016-02-28,77,2016-02-28,905.0,Northern
2016-03-06,62,2016-03-06,905.0,Northern
2016-03-13,89,2016-03-13,905.0,Northern
2016-03-20,106,2016-03-20,905.0,Northern
2016-03-27,136,2016-03-27,905.0,Northern
2016-04-03,99,2016-04-03,905.0,Northern
2016-04-10,80,2016-04-10,905.0,Northern
2016-04-17,74,2016-04-17,905.0,Northern
2016-04-24,102,2016-04-24,905.0,Northern
2016-05-01,72,2016-05-01,905.0,Northern
2016-05-08,85,2016-05-08,905.0,Northern
2016-05-15,97,2016-05-15,905.0,Northern
2016-05-22,77,2016-05-22,905.0,Northern
2016-05-29,55,2016-05-29,905.0,Northern
2016-06-05,71,2016-06-05,905.0,Northern
2016-06-12,68,2016-06-12,905.0,Northern
2016-06-19,63,2016-06-19,905.0,Northern
2016-06-26,107,2016-06-26,905.0,Northern
2016-07-03,64,2016-07-03,905.0,Northern
2016-07-10,87,2016-07-10,905.0,Northern
2016-07-17,64,2016-07-17,905.0,Northern
2016-07-24,61,2016-07-24,905.0,Northern
2016-07-31,64,2016-07-31,905.0,Northern
2016-08-07,65,2016-08-07,905.0,Northern
2016-08-14,57,2016-08-14,905.0,Northern
2016-08-21,54,2016-08-21,905.0,Northern
2016-08-28,71,2016-08-28,905.0,Northern
2016-09-04,66,2016-09-04,905.0,Northern
2016-09-11,63,2016-09-11,905.0,Northern
2016-09-18,68,2016-09-18,905.0,Northern
2016-09-25,74,2016-09-25,905.0,Northern
2016-10-02,51,2016-10-02,905.0,Northern
2016-10-09,73,2016-10-09,905.0,Northern
2016-10-16,74,2016-10-16,905.0,Northern
2016-10-23,64,2016-10-23,905.0,Northern
2016-10-30,53,2016-10-30,905.0,Northern
2016-11-06,74,2016-11-06,905.0,Northern
2016-11-13,53,2016-11-13,905.0,Northern
2016-11-20,51,2016-11-20,905.0,Northern
2016-11-27,48,2016-11-27,905.0,Northern
2016-12-04,56,2016-12-04,905.0,Northern
2016-12-11,57,2016-12-11,905.0,Northern
2016-12-18,63,2016-12-18,905.0,Northern
2016-12-25,62,2016-12-25,905.0,Northern
2017-01-01,61,2017-01-01,905.0,Northern
2017-01-08,68,2017-01-08,905.0,Northern
2017-01-15,69,2017-01-15,905.0,Northern
2017-01-22,105,2017-01-22,905.0,Northern
2017-01-29,91,2017-01-29,905.0,Northern
2017-02-05,89,2017-02-05,905.0,Northern
2017-02-12,65,2017-02-12,905.0,Northern
2017-02-19,83,2017-02-19,905.0,Northern
2017-02-26,69,2017-02-26,905.0,Northern
2017-03-05,58,2017-03-05,905.0,Northern
2017-03-12,62,2017-03-12,905.0,Northern
2017-03-19,54,2017-03-19,905.0,Northern
2017-03-26,60,2017-03-26,905.0,Northern
2017-04-02,61,2017-04-02,905.0,Northern
2017-04-09,68,2017-04-09,905.0,Northern
2017-04-16,76,2017-04-16,905.0,Northern
2017-04-23,69,2017-04-23,905.0,Northern
2017-04-30,60,2017-04-30,905.0,Northern
2017-05-07,64,2017-05-07,905.0,Northern
2017-05-14,51,2017-05-14,905.0,Northern
2017-05-21,61,2017-05-21,905.0,Northern
2017-05-28,72,2017-05-28,905.0,Northern
2017-06-04,72,2017-06-04,905.0,Northern
2017-06-11,67,2017-06-11,905.0,Northern
2017-06-18,59,2017-06-18,905.0,Northern
2017-06-25,68,2017-06-25,905.0,Northern
2017-07-02,79,2017-07-02,905.0,Northern
2017-07-09,85,2017-07-09,905.0,Northern
2017-07-16,84,2017-07-16,905.0,Northern
2017-07-23,62,2017-07-23,905.0,Northern
2017-07-30,47,2017-07-30,905.0,Northern
2017-08-06,55,2017-08-06,905.0,Northern
2017-08-13,45,2017-08-13,905.0,Northern
2017-08-20,59,2017-08-20,905.0,Northern
2017-08-27,68,2017-08-27,905.0,Northern
2017-09-03,75,2017-09-03,905.0,Northern
2017-09-10,76,2017-09-10,905.0,Northern
2017-09-17,88,2017-09-17,905.0,Northern
2017-09-24,51,2017-09-24,905.0,Northern
2017-10-01,44,2017-10-01,905.0,Northern
2017-10-08,59,2017-10-08,905.0,Northern
2017-10-15,65,2017-10-15,905.0,Northern
2017-10-22,53,2017-10-22,905.0,Northern
2017-10-29,41,2017-10-29,905.0,Northern
2017-11-05,47,2017-11-05,905.0,Northern
2017-11-12,34,2017-11-12,905.0,Northern
2017-11-19,61,2017-11-19,905.0,Northern
2017-11-26,43,2017-11-26,905.0,Northern
2017-12-03,44,2017-12-03,905.0,Northern
2017-12-10,34,2017-12-10,905.0,Northern
2017-12-17,31,2017-12-17,905.0,Northern
2017-12-24,45,2017-12-24,905.0,Northern
2017-12-31,33,2017-12-31,905.0,Northern
2018-01-07,32,2018-01-07,905.0,Northern
2018-01-14,49,2018-01-14,905.0,Northern
2018-01-21,61,2018-01-21,905.0,Northern
2018-01-28,60,2018-01-28,905.0,Northern
2018-02-04,43,2018-02-04,905.0,Northern
2018-02-11,59,2018-02-11,905.0,Northern
2018-02-18,60,2018-02-18,905.0,Northern
2018-02-25,59,2018-02-25,905.0,Northern
2018-03-04,57,2018-03-04,905.0,Northern
2018-03-11,64,2018-03-11,905.0,Northern
2018-03-18,55,2018-03-18,905.0,Northern
2018-03-25,27,2018-03-25,905.0,Northern
2018-04-01,49,2018-04-01,905.0,Northern
2018-04-08,58,2018-04-08,905.0,Northern
2018-04-15,68,2018-04-15,905.0,Northern
2018-04-22,55,2018-04-22,905.0,Northern
2018-04-29,62,2018-04-29,905.0,Northern
2018-05-06,69,2018-05-06,905.0,Northern
2018-05-13,48,2018-05-13,905.0,Northern
2018-05-20,58,2018-05-20,905.0,Northern
2018-05-27,67,2018-05-27,905.0,Northern
2018-06-03,42,2018-06-03,905.0,Northern
2018-06-10,60,2018-06-10,905.0,Northern
2018-06-17,67,2018-06-17,905.0,Northern
2018-06-24,81,2018-06-24,905.0,Northern
2018-07-01,68,2018-07-01,905.0,Northern
2018-07-08,77,2018-07-08,905.0,Northern
2018-07-15,78,2018-07-15,905.0,Northern
2018-07-22,80,2018-07-22,905.0,Northern
